symbol	Grp.1 mean	Grp.2 mean	logFC	p-value	label
KDR	0.35106521739130436	-0.4503545454545454	0.8014197628458497	0.32E-01	* 
STK11	0.7521521739130436	0.18186363636363637	0.5702885375494072	0.32E-01	* 
SYK	-0.8811565217391302	-0.22626363636363636	-0.6548928853754938	0.32E-01	* 
MIAT	-0.21798695652173913	0.5121272727272728	-0.7301142292490119	0.35E-01	* 
PPARG	-0.8847652173913043	-0.21743636363636362	-0.6673288537549407	0.35E-01	* 
ATP2B3	-0.3670739130434782	0.2837363636363637	-0.6508102766798418	0.37E-01	* 
CLTC	-0.4322521739130436	0.21161818181818184	-0.6438703557312254	0.40E-01	* 
GSTT1	0.4457869565217391	-0.28608181818181816	0.7318687747035573	0.41E-01	* 
IL1R2	-0.8444086956521738	-0.12053636363636366	-0.7238723320158101	0.42E-01	* 
IFI44L	0.7123043478260871	-0.05588181818181821	0.7681861660079053	0.42E-01	* 
ITGAM	-0.5969608695652174	-0.01907272727272727	-0.5778881422924902	0.45E-01	* 
MAPT-IT1	-0.44871739130434785	0.14011818181818184	-0.5888355731225297	0.45E-01	* 
CYP3A4	-1.0153347826086956	-0.07507272727272729	-0.9402620553359683	0.46E-01	* 
ZNF521	0.7448043478260871	0.37290909090909086	0.3718952569169962	0.47E-01	* 
PLCG1	0.8878956521739131	0.3668272727272727	0.5210683794466404	0.48E-01	* 
CD14	-0.7731695652173912	-0.2494181818181818	-0.5237513833992095	0.49E-01	* 
MLF1	-0.4388130434782609	0.06638181818181818	-0.5051948616600791	0.50E-01	* 
CYTIP	-0.8134956521739128	-0.20153636363636362	-0.6119592885375492	0.50E-01	ns
ERCC2	0.8513217391304349	0.23909090909090913	0.6122308300395257	0.52E-01	ns
LCP1	-0.9206130434782608	-0.34041818181818184	-0.5801948616600789	0.52E-01	ns
FCER1G	-0.7097739130434783	-0.24514545454545456	-0.4646284584980237	0.53E-01	ns
MSN	-0.027373913043478252	0.3848090909090909	-0.4121830039525691	0.54E-01	ns
OAS2	0.6134565217391305	-0.10549090909090908	0.7189474308300395	0.55E-01	ns
LGR5	-0.6223086956521738	0.042245454545454544	-0.6645541501976284	0.56E-01	ns
STAT3	-0.009400000000000016	0.5862636363636363	-0.5956636363636363	0.58E-01	ns
DCAF12L2	-0.8649000000000002	-0.5894272727272728	-0.2754727272727274	0.58E-01	ns
KIAA1598	-0.9732608695652172	-0.27456363636363634	-0.6986972332015808	0.59E-01	ns
RABEP1	-0.28566956521739134	0.2830818181818182	-0.5687513833992095	0.59E-01	ns
FLT4	0.5989695652173913	-0.11719090909090912	0.7161604743083004	0.61E-01	ns
MAP2K2	0.5624304347826088	-0.0978090909090909	0.6602395256916997	0.61E-01	ns
HMGA1	-0.5150217391304348	0.15427272727272726	-0.669294466403162	0.61E-01	ns
JAK3	-0.6876782608695652	-0.16440909090909092	-0.5232691699604742	0.63E-01	ns
NFATC2	-0.4890260869565218	0.1803636363636364	-0.6693897233201582	0.64E-01	ns
EBF1	-0.14035652173913044	-0.7007727272727273	0.5604162055335968	0.65E-01	ns
KDSR	-0.20495217391304346	0.27408181818181826	-0.47903399209486175	0.66E-01	ns
PLAUR	-0.7017304347826088	-0.2773090909090909	-0.4244213438735179	0.67E-01	ns
ERBB4	-0.03259565217391308	0.5841272727272727	-0.6167229249011859	0.68E-01	ns
WNT16	0.024873913043478257	0.8339545454545455	-0.8090806324110672	0.69E-01	ns
SDC4	-0.11804782608695652	0.43064545454545455	-0.5486932806324111	0.69E-01	ns
FBP1	-0.8094869565217392	-0.34966363636363634	-0.45982332015810284	0.72E-01	ns
ABCC3	-0.2614478260869565	0.2892181818181818	-0.5506660079051383	0.72E-01	ns
ABCG2	0.5128956521739131	-0.053018181818181874	0.5659138339920949	0.72E-01	ns
NOS1	-0.8156695652173913	-0.35011818181818183	-0.4655513833992095	0.73E-01	ns
ESR2	-0.1996652173913043	0.3398636363636364	-0.5395288537549408	0.74E-01	ns
C5AR1	-0.7632695652173913	-0.21543636363636362	-0.5478332015810277	0.74E-01	ns
BCL6	-0.4401478260869565	0.3876090909090909	-0.8277569169960475	0.75E-01	ns
CNOT3	0.7377521739130436	0.3624818181818181	0.37527035573122547	0.77E-01	ns
CREB3L1	0.7829086956521738	0.3069636363636363	0.4759450592885375	0.77E-01	ns
PTEN	-0.1136695652173913	-0.7146909090909089	0.6010213438735177	0.79E-01	ns
PMS1	0.33669130434782607	-0.18271818181818175	0.5194094861660078	0.79E-01	ns
ASPSCR1	0.5725869565217391	-0.09269090909090907	0.6652778656126481	0.79E-01	ns
GDF15	0.3996739130434782	-0.15560909090909092	0.5552830039525691	0.83E-01	ns
DEK	-0.2525826086956522	0.4687636363636363	-0.7213462450592885	0.84E-01	ns
TPM3	-0.7348391304347828	-0.3493636363636364	-0.3854754940711464	0.84E-01	ns
CDKN2C	0.46737391304347814	0.1725363636363636	0.29483754940711454	0.85E-01	ns
RALGDS	-0.1918521739130435	0.5729636363636365	-0.76481581027668	0.88E-01	ns
ANGPTL7	-0.7045434782608695	0.1669363636363637	-0.8714798418972332	0.89E-01	ns
BCL3	-0.48079130434782613	0.011945454545454537	-0.49273675889328067	0.90E-01	ns
NPC2	-0.7160652173913045	-0.3368181818181818	-0.37924703557312267	0.90E-01	ns
AFF2	-0.5865173913043479	-0.16996363636363637	-0.4165537549407115	0.90E-01	ns
FANCC	0.11016086956521738	0.5610999999999999	-0.45093913043478256	0.90E-01	ns
POU2AF1	-0.20368695652173913	-0.813218181818182	0.6095312252964429	0.90E-01	ns
PDE4DIP	-0.4210652173913044	0.32608181818181814	-0.7471470355731226	0.90E-01	ns
PWWP2A	-0.23430434782608692	0.39237272727272726	-0.6266770750988142	0.91E-01	ns
FCGR3A	-0.759708695652174	-0.31162727272727275	-0.4480814229249013	0.91E-01	ns
ELL	0.23863913043478263	-0.25669090909090914	0.49533003952569177	0.93E-01	ns
MTMR7	-0.6049217391304348	-0.22110000000000005	-0.3838217391304347	0.94E-01	ns
PTGS1	0.3147826086956521	-0.3313363636363636	0.6461189723320158	0.94E-01	ns
CR1	-0.757404347826087	-0.3538454545454545	-0.4035588932806325	0.94E-01	ns
CNTD2	0.8732347826086958	0.24538181818181812	0.6278529644268777	0.94E-01	ns
NT5C2	-0.5298565217391303	-0.1115545454545454	-0.41830197628458493	0.96E-01	ns
MYO1G	-0.6633608695652172	-0.1999	-0.46346086956521726	0.96E-01	ns
PAX3	-0.23931304347826088	0.43271818181818184	-0.6720312252964427	0.10E+00	ns
PIM1	-0.5235217391304348	0.18185454545454546	-0.7053762845849803	1.00E-01	ns
SEPT9	0.15656521739130433	0.6774363636363636	-0.5208711462450593	0.10E+00	ns
HCK	-0.7180782608695653	-0.2637909090909091	-0.4542873517786562	1.00E-01	ns
TFE3	-0.16400869565217394	0.30063636363636365	-0.4646450592885376	0.11E+00	ns
MUC1	-0.10442173913043477	0.5306363636363636	-0.6350581027667983	0.11E+00	ns
ALDH1A3	-0.612495652173913	-0.04828181818181816	-0.5642138339920948	0.11E+00	ns
ALOX5	-0.6284782608695653	-0.20514545454545452	-0.42333280632411074	0.11E+00	ns
LSM14A	0.6726217391304348	0.15675454545454545	0.5158671936758893	0.11E+00	ns
IGF2BP1	-0.4370173913043478	-0.7730999999999999	0.3360826086956521	0.11E+00	ns
UBE2QL1	-0.3071130434782609	0.24816363636363636	-0.5552766798418973	0.11E+00	ns
CCDC136	-0.2551826086956521	0.31210000000000004	-0.5672826086956522	0.11E+00	ns
FOXA1	-1.0765260869565214	-0.7174272727272726	-0.35909881422924883	0.11E+00	ns
RAP1GDS1	-0.5120695652173913	-0.06596363636363636	-0.446105928853755	0.11E+00	ns
TCF3	0.6076000000000001	0.2848454545454545	0.3227545454545456	0.11E+00	ns
ERG	0.29265217391304343	-0.28420909090909097	0.5768612648221344	0.12E+00	ns
TLR1	-0.6243521739130435	-0.18673636363636364	-0.4376158102766799	0.12E+00	ns
STAG2	0.3486173913043478	-0.15366363636363636	0.5022810276679842	0.12E+00	ns
FUBP1	-0.40060869565217383	0.2360545454545454	-0.6366632411067192	0.12E+00	ns
CMTM7	-0.9058695652173911	-0.5693454545454546	-0.33652411067193655	0.12E+00	ns
CHIC2	0.0289347826086957	-0.5979818181818182	0.6269166007905139	0.12E+00	ns
CDC42EP5	0.04523478260869567	-0.5433818181818183	0.5886166007905139	0.12E+00	ns
GATA2	0.22760869565217393	-0.2678545454545454	0.49546324110671935	0.12E+00	ns
TRIM27	0.3788347826086957	-0.1631727272727273	0.542007509881423	0.13E+00	ns
NCKAP1L	-0.735921739130435	-0.2338	-0.502121739130435	0.13E+00	ns
KCNJ5	-0.333495652173913	0.2404818181818182	-0.5739774703557312	0.13E+00	ns
PCDHA6	-0.3196913043478261	0.2197818181818182	-0.5394731225296443	0.13E+00	ns
DOCK2	-0.7011217391304347	-0.18068181818181817	-0.5204399209486166	0.13E+00	ns
RPL10	-0.09431304347826085	-0.5095545454545455	0.4152415019762846	0.13E+00	ns
CDK15	-0.3272608695652174	-0.8584545454545455	0.5311936758893281	0.13E+00	ns
LMO1	0.2729347826086956	0.6943727272727273	-0.42143794466403167	0.13E+00	ns
WIF1	-0.5385695652173914	-0.054727272727272736	-0.4838422924901187	0.13E+00	ns
PRLHR	-0.9020347826086956	-0.4907818181818182	-0.4112529644268774	0.14E+00	ns
TPBG	-0.5406347826086957	-0.15011818181818182	-0.39051660079051387	0.14E+00	ns
MUTYH	0.7136521739130436	0.2566909090909091	0.4569612648221345	0.14E+00	ns
CRTC1	0.5790956521739129	0.13219999999999998	0.4468956521739129	0.14E+00	ns
CDKN1B	0.28390000000000004	-0.16714545454545454	0.4510454545454546	0.14E+00	ns
ESR1	-0.15671304347826084	-0.5947727272727273	0.43805968379446647	0.14E+00	ns
WAS	-0.6156260869565218	-0.2282727272727273	-0.3873533596837945	0.14E+00	ns
VSX1	0.5720391304347826	0.00382727272727276	0.5682118577075098	0.14E+00	ns
CCL20	-0.5571608695652174	-0.11912727272727273	-0.4380335968379446	0.14E+00	ns
SCARNA12	0.1759391304347826	-0.23602727272727278	0.41196640316205535	0.14E+00	ns
HOXA13	-0.47821739130434787	-0.9627181818181818	0.48450079051383393	0.15E+00	ns
DCTN1	-0.20564347826086957	0.0872	-0.29284347826086954	0.15E+00	ns
MECOM	0.45555217391304365	-0.14315454545454542	0.598706719367589	0.15E+00	ns
LCK	-0.19767826086956522	-0.5955545454545454	0.39787628458498026	0.15E+00	ns
SIRPB2	-0.6251434782608696	-0.25251818181818175	-0.3726252964426878	0.15E+00	ns
ERCC4	-0.1997826086956522	0.3019636363636364	-0.5017462450592886	0.15E+00	ns
GNA15	-0.6933826086956522	-0.3131	-0.38028260869565217	0.15E+00	ns
PPFIBP1	-0.24513043478260868	-0.6673090909090909	0.4221786561264822	0.15E+00	ns
OAS3	0.725891304347826	0.2473454545454545	0.47854584980237147	0.15E+00	ns
MAP3K1	0.6299	0.10050909090909088	0.5293909090909091	0.15E+00	ns
KLK3	-1.5269	-1.1354090909090908	-0.3914909090909091	0.15E+00	ns
BIRC3	-0.36465217391304344	0.10620909090909092	-0.47086126482213436	0.15E+00	ns
PICALM	-0.44991304347826083	-0.01639090909090908	-0.43352213438735177	0.16E+00	ns
SLC17A6	-0.5085826086956522	-0.04614545454545456	-0.46243715415019765	0.16E+00	ns
IQSEC3	-0.09089130434782607	0.3347818181818182	-0.42567312252964423	0.16E+00	ns
ZNF695	-0.5113695652173913	-0.09913636363636363	-0.41223320158102766	0.16E+00	ns
SIGLEC14	-0.6046434782608696	-0.15838181818181818	-0.44626166007905144	0.16E+00	ns
PDGFRB	0.20991304347826092	-0.24502727272727273	0.45494031620553366	0.16E+00	ns
XPA	-0.41149999999999987	0.14432727272727272	-0.5558272727272726	0.16E+00	ns
PLAG1	-0.4836869565217392	0.0028636363636363586	-0.48655059288537555	0.16E+00	ns
C1QB	-0.7459826086956522	-0.3665636363636364	-0.3794189723320158	0.16E+00	ns
GNAS	0.8514695652173913	0.24686363636363637	0.6046059288537549	0.16E+00	ns
FPR1	-0.7630521739130434	-0.2817545454545455	-0.4812976284584979	0.16E+00	ns
FBXW7	-0.060339130434782604	0.4277545454545455	-0.4880936758893281	0.17E+00	ns
BLM	0.9143260869565218	0.5291181818181818	0.38520790513834	0.17E+00	ns
PALB2	0.06305217391304348	0.3943909090909091	-0.33133873517786566	0.17E+00	ns
HMGA2	-0.5579478260869565	-0.16392727272727267	-0.3940205533596838	0.17E+00	ns
OLIG2	0.41342173913043473	0.13518181818181818	0.27823992094861655	0.17E+00	ns
FAS	-0.24429130434782606	0.06899090909090907	-0.31328221343873514	0.17E+00	ns
CLVS2	-0.42502173913043473	0.13584545454545455	-0.5608671936758893	0.18E+00	ns
GRIN3A	-0.5199478260869563	-0.2001909090909091	-0.31975691699604725	0.18E+00	ns
RAC2	-0.7298826086956522	-0.357	-0.37288260869565226	0.18E+00	ns
PRKCB	-0.435995652173913	-0.015827272727272707	-0.4201683794466403	0.19E+00	ns
WDFY4	-0.5015999999999999	-0.05236363636363636	-0.44923636363636354	0.19E+00	ns
TBXAS1	-0.665404347826087	-0.33978181818181824	-0.3256225296442688	0.19E+00	ns
TMEM179	-0.34887826086956514	0.1723181818181818	-0.5211964426877469	0.19E+00	ns
CDH11	-0.25216086956521744	0.1114	-0.36356086956521744	0.19E+00	ns
DAZ1	-0.6642347826086956	-0.5488090909090908	-0.11542569169960482	0.19E+00	ns
ETV1	0.32098695652173914	-0.019036363636363608	0.34002332015810277	0.19E+00	ns
PTPRB	0.14477391304347825	-0.36876363636363635	0.5135375494071146	0.19E+00	ns
RAD21	-0.40895652173913044	-0.01350909090909093	-0.3954474308300395	0.19E+00	ns
STXBP2	-0.6805000000000001	-0.27293636363636364	-0.40756363636363646	0.19E+00	ns
ETV4	0.5533652173913045	0.7992545454545454	-0.24588932806324093	0.20E+00	ns
PTPRK	-0.24863913043478264	0.26368181818181824	-0.5123209486166009	0.20E+00	ns
ZNF384	0.5718608695652174	0.09228181818181813	0.4795790513833993	0.20E+00	ns
MAS1	-1.364178260869565	-1.0331727272727271	-0.3310055335968378	0.20E+00	ns
TTL	-0.4440739130434783	-0.001572727272727271	-0.44250118577075104	0.20E+00	ns
CSF1R	-0.7060478260869566	-0.31560909090909095	-0.39043873517786565	0.20E+00	ns
BCL11B	-0.46870000000000006	-0.06515454545454538	-0.40354545454545465	0.20E+00	ns
BRCA1	0.11712173913043482	0.4933	-0.3761782608695652	0.20E+00	ns
ERBB3	-0.5085130434782609	-0.11958181818181815	-0.38893122529644275	0.21E+00	ns
NKX2-1	-0.7385521739130436	-0.9162090909090911	0.17765691699604746	0.21E+00	ns
CDH1	0.36857391304347825	-0.046499999999999986	0.41507391304347824	0.21E+00	ns
CD177	-0.6750478260869567	-0.9937454545454546	0.3186976284584979	0.21E+00	ns
NOTCH2	0.05441304347826087	0.3914727272727273	-0.33705968379446644	0.21E+00	ns
NDRG1	-0.6924217391304347	-0.2595181818181818	-0.4329035573122529	0.21E+00	ns
KIAA1549	-0.025756521739130452	0.3161090909090909	-0.34186561264822135	0.21E+00	ns
P2RY8	-0.5130739130434783	-0.8516272727272728	0.3385533596837945	0.22E+00	ns
LIF	-0.22824782608695648	0.1613181818181818	-0.3895660079051383	0.22E+00	ns
WWTR1	-0.12073043478260868	0.2733727272727273	-0.394103162055336	0.22E+00	ns
GNAQ	0.13895217391304354	0.6200181818181818	-0.48106600790513826	0.22E+00	ns
TNFRSF14	0.12247391304347824	-0.2732090909090909	0.39568300395256917	0.22E+00	ns
KLRC1	-0.8814217391304346	-0.6536	-0.2278217391304347	0.22E+00	ns
MALT1	-0.5523782608695652	-0.23364545454545455	-0.31873280632411066	0.22E+00	ns
SDHA	0.04066086956521736	0.44462727272727276	-0.4039664031620554	0.22E+00	ns
SH2D2A	-0.6155173913043479	-0.2632909090909091	-0.35222648221343883	0.23E+00	ns
MN1	-0.18859130434782606	0.25366363636363637	-0.44225494071146243	0.23E+00	ns
PIK3R5	-0.7374739130434784	-0.3712454545454546	-0.3662284584980238	0.23E+00	ns
TET2	0.23203913043478264	-0.10109090909090908	0.3331300395256917	0.23E+00	ns
SDHC	-0.4273304347826087	-0.11255454545454545	-0.3147758893280632	0.23E+00	ns
NFKB1	-0.35324782608695654	0.050172727272727265	-0.4034205533596838	0.23E+00	ns
WHSC1	0.1957260869565218	0.5234818181818182	-0.32775573122529633	0.23E+00	ns
SKAP1	-0.3904782608695652	-0.7881454545454546	0.3976671936758894	0.23E+00	ns
NIN	-0.020526086956521746	0.3546	-0.3751260869565218	0.23E+00	ns
RSPO2	-0.31793913043478267	0.14338181818181814	-0.4613209486166008	0.23E+00	ns
GPR84	-0.4076521739130435	-0.053727272727272735	-0.35392490118577075	0.23E+00	ns
IKZF1	-0.6219173913043478	-0.21934545454545454	-0.40257193675889325	0.23E+00	ns
FPR2	-0.744704347826087	-0.38711818181818175	-0.3575861660079052	0.23E+00	ns
H3F3A	-0.3731826086956522	-0.004645454545454533	-0.36853715415019767	0.23E+00	ns
FCRLA	-0.8259347826086957	-0.3982818181818182	-0.4276529644268775	0.24E+00	ns
KCNK9	-0.3004565217391304	0.10045454545454545	-0.40091106719367586	0.24E+00	ns
FABP4	-0.8686043478260869	-0.5942	-0.2744043478260869	0.24E+00	ns
VDR	-0.4629913043478261	-0.17154545454545453	-0.29144584980237154	0.24E+00	ns
ATP1A1	-0.38007391304347826	0.00504545454545458	-0.38511936758893284	0.24E+00	ns
PIPOX	0.8745739130434782	0.6471	0.2274739130434782	0.24E+00	ns
TAL1	-0.3585217391304348	0.06906363636363634	-0.4275853754940711	0.24E+00	ns
BCL9	0.057739130434782605	0.5009454545454545	-0.44320632411067185	0.25E+00	ns
SATB1	-0.29973043478260875	0.15077272727272725	-0.450503162055336	0.25E+00	ns
CUX1	0.14609565217391304	0.5339363636363635	-0.38784071146245047	0.25E+00	ns
MYOD1	-1.4732391304347825	-1.2695454545454548	-0.20369367588932774	0.25E+00	ns
MLLT1	0.5946086956521739	0.3044909090909091	0.2901177865612648	0.25E+00	ns
BRD3	-0.03863478260869564	0.3662181818181818	-0.4048529644268774	0.25E+00	ns
MAF	-0.2413869565217391	0.059100000000000014	-0.3004869565217391	0.25E+00	ns
ST14	-0.8906043478260869	-0.4855727272727273	-0.40503162055335956	0.25E+00	ns
JAK1	-0.17225217391304345	0.13949999999999999	-0.31175217391304344	0.25E+00	ns
RNASE2	-0.5599695652173914	-0.23785454545454543	-0.32211501976284596	0.26E+00	ns
CLIP1	0.11825217391304346	0.41897272727272733	-0.30072055335968384	0.26E+00	ns
SPOCK1	-0.713204347826087	-0.25864545454545457	-0.4545588932806324	0.26E+00	ns
PAX7	-0.1573565217391304	-0.6579909090909091	0.5006343873517787	0.26E+00	ns
PIK3R1	0.018560869565217384	0.37449090909090915	-0.35593003952569174	0.26E+00	ns
GATA3	0.08730869565217392	-0.3083181818181818	0.39562687747035574	0.26E+00	ns
C1QC	-0.7140391304347827	-0.41201818181818184	-0.3020209486166009	0.26E+00	ns
STC1	-0.5749434782608696	-0.20374545454545456	-0.371198023715415	0.26E+00	ns
ABCC6	-0.2354130434782608	0.13425454545454543	-0.36966758893280627	0.27E+00	ns
LRG1	-0.7339652173913044	-0.4199090909090909	-0.3140561264822135	0.27E+00	ns
FNBP1	-0.12543478260869567	0.3325090909090909	-0.4579438735177866	0.27E+00	ns
DAPL1	-0.7094304347826086	-0.3704	-0.3390304347826086	0.27E+00	ns
RET	0.4826956521739131	0.022181818181818188	0.4605138339920949	0.27E+00	ns
PCDH11Y	-0.7585217391304347	-0.4515545454545454	-0.30696719367588937	0.27E+00	ns
PTPRC	-0.6652478260869564	-0.3118454545454546	-0.35340237154150184	0.27E+00	ns
DNM2	0.27563478260869567	-0.057218181818181814	0.3328529644268775	0.27E+00	ns
CHEK2	-0.24260869565217397	-0.5694454545454546	0.3268367588932806	0.27E+00	ns
HUNK	-0.3259826086956522	-0.00478181818181816	-0.32120079051383404	0.27E+00	ns
PRDM1	-0.15363043478260874	-0.4561545454545454	0.3025241106719367	0.27E+00	ns
C1QA	-0.7182347826086956	-0.45244545454545454	-0.265789328063241	0.28E+00	ns
CARD11	-0.4180608695652174	-0.08486363636363636	-0.333197233201581	0.28E+00	ns
EIF4A2	-0.36851739130434785	-0.030581818181818165	-0.3379355731225297	0.28E+00	ns
SF3B1	0.14679999999999993	-0.15293636363636362	0.2997363636363636	0.28E+00	ns
VTI1A	-0.8869347826086956	-0.615409090909091	-0.2715256916996046	0.28E+00	ns
HOXC13	0.01770000000000005	-0.4205454545454545	0.43824545454545455	0.28E+00	ns
MYD88	0.08191739130434782	-0.10346363636363637	0.1853810276679842	0.28E+00	ns
NNAT	-0.3624217391304347	-0.014781818181818184	-0.3476399209486165	0.29E+00	ns
RHOD	-0.11862608695652177	0.21134545454545456	-0.32997154150197633	0.29E+00	ns
AFF4	-0.26394782608695655	0.08033636363636361	-0.34428418972332014	0.29E+00	ns
KCNH4	0.3844608695652174	0.007081818181818179	0.3773790513833992	0.29E+00	ns
FLI1	-0.17512608695652176	-0.47854545454545455	0.3034193675889328	0.29E+00	ns
FGFR1OP	0.10557826086956519	-0.25937272727272725	0.36495098814229243	0.29E+00	ns
MAP1LC3C	0.13263478260869563	0.45290909090909093	-0.32027430830039527	0.29E+00	ns
SS18L1	0.32577391304347825	0.06327272727272727	0.262501185770751	0.30E+00	ns
GNA11	0.34840869565217397	0.053881818181818183	0.2945268774703558	0.30E+00	ns
ARNT	-0.31563913043478253	-0.03026363636363636	-0.28537549407114615	0.30E+00	ns
FAT1	0.11021304347826087	-0.2604545454545454	0.37066758893280627	0.30E+00	ns
PARVG	-0.6166565217391305	-0.31877272727272726	-0.2978837944664033	0.30E+00	ns
TCF7L2	0.1516521739130435	-0.0887	0.2403521739130435	0.30E+00	ns
ATP12A	-0.7273826086956522	-1.0328363636363636	0.30545375494071136	0.30E+00	ns
GOLGA5	0.05080869565217395	0.28066363636363634	-0.2298549407114624	0.30E+00	ns
DDIT3	-0.24188260869565217	0.06329090909090909	-0.30517351778656127	0.30E+00	ns
SMC1B	-0.5891217391304348	-0.3426545454545455	-0.24646719367588926	0.31E+00	ns
SRRM3	-0.3456565217391304	0.0031454545454545624	-0.348801976284585	0.31E+00	ns
CD4	-0.6352173913043478	-0.3601636363636364	-0.27505375494071144	0.31E+00	ns
PRKACA	0.2725434782608696	-0.02458181818181818	0.2971252964426878	0.31E+00	ns
RECQL4	0.32863478260869566	0.0832181818181818	0.24541660079051386	0.31E+00	ns
FH	-0.2088260869565218	0.2213454545454546	-0.4301715415019764	0.31E+00	ns
ABCC10	0.5131434782608695	0.08598181818181821	0.42716166007905126	0.31E+00	ns
BRAF	-0.4466782608695653	-0.09673636363636363	-0.3499418972332017	0.31E+00	ns
LMO2	0.5511956521739131	0.2545636363636364	0.2966320158102767	0.32E+00	ns
TSC1	-0.05184347826086957	0.3418545454545454	-0.39369802371541496	0.32E+00	ns
HBG2	-0.09773478260869563	-0.3989545454545454	0.3012197628458498	0.32E+00	ns
HDAC8	-0.30802173913043485	-0.04387272727272726	-0.26414901185770756	0.32E+00	ns
INA	-0.2623347826086957	0.04854545454545452	-0.3108802371541502	0.32E+00	ns
MYO5A	-0.1779913043478261	0.07819999999999999	-0.2561913043478261	0.32E+00	ns
FMNL1	-0.4789739130434783	-0.17837272727272727	-0.300601185770751	0.32E+00	ns
ABCC1	-0.47699565217391304	-0.12931818181818183	-0.3476774703557312	0.32E+00	ns
STIL	0.2377086956521739	0.05740000000000001	0.1803086956521739	0.32E+00	ns
FANCA	0.5662652173913044	0.3320181818181818	0.2342470355731226	0.32E+00	ns
TFPT	0.24388695652173914	-0.07892727272727272	0.3228142292490119	0.32E+00	ns
THBD	-0.6284956521739129	-0.3541	-0.2743956521739129	0.32E+00	ns
NFAM1	-0.7593043478260867	-0.45342727272727273	-0.30587707509881396	0.32E+00	ns
CCDC6	-0.4908043478260869	-0.20927272727272725	-0.2815316205533597	0.32E+00	ns
CBLB	-0.46088695652173906	-0.19498181818181817	-0.2659051383399209	0.32E+00	ns
CTNNB1	-0.4171913043478261	-0.09201818181818179	-0.3251731225296443	0.32E+00	ns
SMO	0.6782478260869566	0.26981818181818185	0.4084296442687747	0.32E+00	ns
